original question,answer,generated answer,retrieved chunks id,context_id,contextualized query,latency
What is the prerequisite for Web Development 2 in BSIT?,Web Development 1 (WEBDVLC1 and WEBDVLB1).,"The prerequisite for taking Web Development 2 (WEBDEVLC2) in the Bachelor of Science in Information Technology (BSIT) program at EARIST is having completed Web Development 1 (WEBDVLC1) successfully. This is because Web Development 2 builds upon the concepts and skills learned in Web Development 1. So, it's essential to have a solid foundation in web development before moving on to more advanced topics.

If you have any further questions or need clarification on any aspect of the prerequisites or the curriculum, please don't hesitate to ask! I'm here to help. 😊

Best regards,
AmBOT (Amang Bot) 🤖
[EARIST Student Assistant]","['syllabus_WEBDEVLC2', 'syllabus_WEBDEVLC2', 'subject curriculum_earist_bsit', 'syllabus_IPATLEC']",curriculum_earist_bsit,What is the prerequisite for Web Development 2 in BSIT?,7.2875
How long is the Teaching Internship for BSED Filipino?,It is a 6-unit course taken in the second semester of the fourth year.,"Based on my data from the EARIST subject curriculum for the Bachelor of Secondary Education Major in Filipino under the College of Education, the Teaching Internship is worth 6 units and is offered during the second semester of the fourth year. Therefore, the duration of the Teaching Internship is one semester, or approximately 15 weeks. However, the exact length may vary depending on the specific requirements and scheduling of the program. If you have any further questions or need clarification, please don't hesitate to ask.","['subject curriculum_earist_bsid', 'subject curriculum_earist_bsed_filipino']",curriculum_earist_bsed_filipino,How long is the Teaching Internship for BSED Filipino?,4.9955
What is the retention policy for freshmen failing 3 courses?,Freshmen failing 3 or more courses in the first semester are placed on probation.,"Based on my data from the Student Handbook 2021, freshmen who fail 3 or more courses (or 1/2 their load) in the first semester are placed on academic probation. This means they are given a chance to improve their academic performance in the following semester. If they pass all subjects in the next semester, the probation is lifted. However, students can only be on probation twice. If they are unable to lift the second probation, they will be ineligible for enrollment.

It's important to note that failing to meet academic requirements can have serious consequences, including being dropped from the roll or being permanently disqualified from the Institute. If you're having trouble keeping up with your coursework, I would encourage you to reach out to your professors or the Office of Student Affairs for support and guidance. They can help you develop a plan to get back on track and avoid academic probation or dismissal.","['earist_handbook_2021_retention_tenure_scholastic_delinquency', 'earist_handbook_art_vii_disciplinary_sanctions', 'glossary_definitions_part_1', 'srrms_enrollment_irregular_returnee_onsite', 'earist_handbook_2021_student_classification_attendance']",earist_handbook_2021_retention_tenure_scholastic_delinquency,What is the retention policy for freshmen failing 3 courses?,6.6653
,,,,,,
,,,,,,
What is the required residency for transfer students to graduate?,They must earn more than 50% of their academic units at EARIST.,"Based on my data from the Student Handbook 2021 under Article I - Admission Policy, transfer students must have a residence of at least three years prior to graduation.","['srrms_enrollment_tcp_graduate_school', 'earist_handbook_2021_graduation_honors_ojt', 'glossary_definitions_part_2_abbreviations', 'sarms_admissions_credential_evaluation_verification', 'earist_handbook_2021_transferees_pledge_readmission']",earist_handbook_2021_graduation_honors_ojt,What is the required residency for transfer students to graduate?,3.0777
What subjects are included in the first semester of BFA Painting?,"DRAWING1, GEKOMFIL, GEPEMOVE, GEPURCO, HISTWART, MATRALS1, NSTPROG1, TECHNOS1, and VISPERC1.","Based on my data from the EARIST subject curriculum for the Bachelor of Fine Arts (Major in Painting) under the College of Architecture and Fine Arts (CAFA), the following subjects are included in the first semester of the BFA Painting program:

1. Drawing I (3 units)
2. Kontekstwalisadong Komunikasyon sa Filipino (3 units)
3. Movement Enhancement (2 units)
4. Purposive Communication (3 units)
5. History of World Arts (3 units)
6. Materials I (Modeling 1) (3 units)
7. National Service Training Program 1 (3 units)
8. Techniques I (Freehand Drawing 1) (3 units)
9. Visual Perception 1 (Elements of Visual Arts) (3 units)
10. Drafting and Perspective (3 units)

These subjects aim to provide a solid foundation in various aspects of art, communication, and technical skills essential for the BFA Painting program.","['subject curriculum_earist_bfa_painting', 'subject curriculum_earist_bfa_vc']",curriculum_earist_bfa_painting,What subjects are included in the first semester of BFA Painting?,10.4217
Is there a fee for completing an INC grade?,"No, completion of INC grades is free of charge.","Based on my data from the Student Experience Guide (2025 Update), there is no additional fee for completing an Incomplete (INC) grade. However, if you need to request a Copy of Grades (COG) or Report of Grades (ROG) with a CTC seal to submit the completed INC grade, there will be a fee of ₱40.00 per semester. I'm here to help, so if you have any other questions or need further clarification, please don't hesitate to ask!","['glossary_definitions_part_2_abbreviations', 'earist_handbook_2021_grading_system_rectification', 'glossary_definitions_part_1', 'vpaa_colleges_completion_of_grade', 'earist_registrar_document_procedures_2025']",earist_handbook_2021_grading_system_rectification,Is there a fee for completing an INC grade?,4.9427
What is the 'APE' in the shifting process?,Academic Program Evaluation.,The 'APE' in the shifting process stands for 'Academic Program Evaluation.' This document is an essential requirement for students who wish to shift to a different program or college within EARIST. The APE is issued by the Registrar's Office and helps determine the needed subjects for the student based on their academic record. This evaluation is crucial in ensuring a smooth transition for the student in their new program or college.,"['srrms_enrollment_shifters_process', 'srrms_enrollment_irregular_returnee_onsite', 'medical_dental_services_annual_physical_exam', 'vpaa_colleges_course_adjustments', 'earist_handbook_2021_student_classification_attendance']",srrms_enrollment_shifters_process,What is the 'APE' in the shifting process?,3.6644
How many units is the BSED Mathematics program?,A total of 177 units.,"Based on my data from the EARIST subject curriculum for the Bachelor of Secondary Education (Major in Mathematics) under the College of Education, the total number of units for this program is 177.","['subject curriculum_earist_bs_math', 'subject curriculum_earist_bsed_math', 'subject curriculum_earist_bsid']",curriculum_earist_bsed_math,How many units is the BSED Mathematics program?,7.6407
What is the maximum load for intersession (summer) classes?,"The regular load is 6 units, with 3 additional units allowed for back courses.","Based on my data from the EARIST Academic Calendar 2025-2026, the regular load for intersession (summer) classes is 6 units. However, students may be allowed to add up to 3 units for back courses, subject to approval by the Dean and VP for Academic Affairs.","['earist_handbook_2021_enrollment_load_substitution', 'academic_calendar.pdf_0', 'earist_handbook_2021_scholarship_qualifications', 'sarms_special_academic_requests_overload_cross_enrollment', 'earist_handbook_2021_retention_tenure_scholastic_delinquency']",earist_handbook_2021_enrollment_load_substitution,What is the maximum load for intersession (summer) classes?,4.5175
Can I apply for a second baccalaureate degree at EARIST?,"No, the Institute does not accept applications for a second baccalaureate degree.","Based on my data from the Student Handbook 2021, EARIST does not explicitly state a policy regarding the application for a second baccalaureate degree. However, I can guide you to the Office of the Registrar or the Office of the Vice President for Academic Affairs for more specific information. They should be able to provide you with the necessary procedures and requirements for pursuing a second degree at EARIST.

In the meantime, you may want to review the institutional goals and objectives outlined in the Student Handbook. EARIST aims to produce quality graduates who are globally competitive and man the needs of business and industry. If you believe that a second degree will help you achieve these goals, it may be worth exploring the opportunity further.

Remember, every academic institution has unique policies and procedures, so it's essential to consult the appropriate office for accurate and up-to-date information. Good luck with your academic pursuits!","['earist_handbook_2021_vmgo_accreditation', 'nstp_issuance_certification_graduate_cwts_lts', 'srrms_enrollment_tcp_graduate_school', 'vpaa_colleges_cross_registration', 'sas_guidance_testing_ecat_administration']",earist_handbook_2021_enrollment_load_substitution,Can I apply for a second baccalaureate degree at EARIST?,5.6103
What is the prerequisite for Advanced Shorthand (ADVSTENO)?,Foundation of Shorthand (FNDSTENO).,"The prerequisite for taking Advanced Shorthand (ADVSTENO) is having completed Foundation of Shorthand (FNDSTENO) first. So, you need to make sure you have successfully completed FNDSTENO before enrolling in ADVSTENO.","['subject curriculum_earist_bsoa', 'syllabus_IPATLEC', 'syllabus_IPATLAB', 'syllabus_IPATLEC1', 'syllabus_ITTHESL2_LAB']",curriculum_earist_bsoa,What is the prerequisite for Advanced Shorthand (ADVSTENO)?,6.5694
How many units is the Internship for BS Applied Physics?,9 units.,"Based on my data from the OBTL Plan for the Bachelor of Science in Applied Physics under the College of Arts and Sciences at EARIST, the ITINTERN: Practicum/Internship subject is worth **9 units**. This subject is designed to expose students to practical work in the IT field and requires a 4th Year standing prerequisite. The total work requirement is 486 hours of on-the-job training, plus 36 hours for briefing and orientation. The training is conducted in different Industrial and Commercial IT companies.

If you have any further questions or need clarification on any topic, please don't hesitate to ask!

Best regards,
AmBOT (Amang Bot)
Your helpful student assistant at EARIST.","['subject curriculum_earist_bsap', 'syllabus_ITINTERN']",curriculum_earist_bsap,How many units is the Internship for BS Applied Physics?,6.0417
What is the 'PPT' in academic screenings?,Program Preparedness Test.,"The 'PPT' in academic screenings stands for the Program Preparedness Test. It is a placement examination designed to assess a student's competency in specific skills or disciplines. The PPT is required for various programs at EARIST, including Architecture, Applied Physics, Mathematics, Computer Science, Information Technology, Psychology, Civil Engineering, Chemical Engineering, Computer Engineering, Electronics and Communications Engineering, Electrical Engineering, and Mechanical Engineering. Students who score lower than the pre-determined cut-off in the PPT may be conditionally admitted and required to enroll in and pass one to two enhancement courses during their first year.","['earist_handbook_2021_screening_process_levels', 'vpaa_colleges_admission_enrollment_interview', 'admission_services_screening_and_application', 'glossary_definitions_part_1', 'earist_handbook_2021_program_cutoff_scores']",earist_handbook_2021_screening_process_levels,What is the 'PPT' in academic screenings?,5.5021
How do I access the Program Curriculum (Syllabus)?,Submit a formal Letter of Request to the EARIST College Dean’s Office.,"I'm glad you're interested in accessing the Program Curriculum for the Bachelor of Science in Entrepreneurship under the College of Business and Public Administration at EARIST. Based on my data from the subject curriculum provided, here's how you can go about it:

1. **Identify the specific curriculum and semester you're interested in.** In this case, it's the Bachelor of Science in Entrepreneurship with an effectivity of June 2018.

2. **Prepare a formal Letter of Request.** Address it to the Dean's Office of the College of Business and Public Administration. Include the specific program name and semester in your request.

3. **Submit your Letter of Request and any relevant Course Description.** The College Dean and Area Chairperson will evaluate your request, which usually takes about 1 day.

4. **Endorsement and Approval.** Once approved, the College Dean will endorse the documents for submission to the Student Registration and Records Management Services (SRRMS). This final stage takes an additional 1 day.

5. **Receive your Program Curriculum.** The total processing time for this request is estimated at 2 days, and there are no associated fees.

If you have any questions or need further assistance, please don't hesitate to ask!","['vpaa_colleges_program_curriculum', 'subject curriculum_earist_bsed_filipino', 'subject curriculum_earist_bs_entrepreneurship']",vpaa_colleges_program_curriculum,How do I access the Program Curriculum (Syllabus)?,8.5427
How long does it take to access a Course Syllabus?,Approximately 2 days.,"Based on the information I have from the EARIST Citizen's Charter 2025, accessing a Course Syllabus involves submitting a formal Letter of Request to the College Dean's Office. The evaluation process by the Area Chairperson and College Dean takes approximately 1 day. After approval, the documents are endorsed by the SRRMS, which takes an additional 1 day. Therefore, the total processing time for accessing a Course Syllabus is estimated to be 2 days.","['vpaa_colleges_program_curriculum', 'syllabus_NETWKLC1', 'srrms_subject_crediting_equivalency', 'admission_services_screening_and_application', 'srrms_enrollment_tcp_graduate_school']",vpaa_colleges_program_curriculum,How long does it take to access a Course Syllabus?,4.6642
How do I get my first School ID?,Fill out an ID request form and provide your Certificate of Registration (COR).,"I'm glad you're asking about getting your first School ID at EARIST! The process is straightforward. First, you'll need to complete your enrollment procedure for the Teacher Certificate Program (TCP) or Graduate School (GS). This includes passing the EARIST-GAT or TCP Admission Test, providing essential documents such as your Transcript of Records, Certificate of Employment, and a PSA Marriage Certificate for females, and paying the tuition fee. Once you've completed these steps, you'll be issued a Certificate of Registration (COR), which serves as your proof of enrollment and your initial ID. If you lose or damage your COR, you can request a re-issuance following the procedures outlined in the EARIST Citizen's Charter.

If you have any further questions or need assistance with any part of the enrollment process, please don't hesitate to ask! I'm here to help.

Best regards,
AmBOT (Amang Bot)
EARIST Student Assistant","['srrms_reissuance_school_id', 'srrms_tor_automated_2011_present', 'srrms_subject_crediting_equivalency', 'srrms_tor_manual_2010_below', 'srrms_enrollment_tcp_graduate_school']",srrms_issuance_school_id_first_copy,How do I get my first School ID?,6.0858
Is the first copy of the School ID free?,"Yes, it is free of charge for first-time freshmen.","Yes, the first copy of the School ID is free of charge for freshmen at EARIST. However, if you need a replacement or an update on your existing School ID, there will be a fee of 200.00 for the re-issuance service. To get your first copy, you just need to secure a 'Certificate of Registration (COR)' and fill out a school ID request form. The ID making in-charge at the SRRMS will process your request and issue the ID to you once it's printed. The total processing time is around 1 hour and 4 minutes.","['srrms_tor_automated_2011_present', 'srrms_issuance_school_id_first_copy', 'srrms_subject_crediting_equivalency', 'srrms_reissuance_school_id', 'srrms_enrollment_irregular_returnee_onsite']",srrms_issuance_school_id_first_copy,Is the first copy of the School ID free?,4.2293
How much is the fee for a lost ID replacement?,The fee is ₱200.00.,"Based on my data from the EARIST Citizen's Charter 2025 (1st Edition), the fee for a lost ID replacement is 200.00. However, I'd be happy to help you with any other questions you might have about the enrollment process, issuance of credentials, or re-issuance of a school ID at EARIST. Just let me know!","['srrms_reissuance_school_id', 'srrms_tor_manual_2010_below', 'srrms_tor_automated_2011_present', 'srrms_honorable_dismissal_transfer_credentials', 'srrms_enrollment_irregular_returnee_onsite']",srrms_reissuance_school_id,How much is the fee for a lost ID replacement?,3.1962
What documents are needed to replace a lost ID?,"COR, Official Receipt of payment, and an Affidavit of Loss.","Based on my data from the EARIST Citizen's Charter 2025, to replace a lost ID, you will need the following documents:

1. A Certificate of Registration (COR)
2. An Official Receipt (from the Cashier)
3. An Affidavit of Loss (from a Notary Public)

I hope this information is helpful! If you have any other questions or need further clarification, please don't hesitate to ask.","['srrms_reissuance_school_id', 'srrms_tor_automated_2011_present', 'srrms_tor_manual_2010_below', 'srrms_enrollment_irregular_returnee_onsite', 'earist_handbook_2021_scholarship_qualifications']",srrms_reissuance_school_id,What documents are needed to replace a lost ID?,4.0907
How long does it take to print a new School ID?,Approximately 1 hour.,"Based on my data from the EARIST Citizen's Charter 2025 (1st Edition), the printing of a new School ID takes approximately 1 hour.","['srrms_reissuance_school_id', 'srrms_enrollment_shifters_process', 'srrms_subject_crediting_equivalency', 'srrms_issuance_school_id_first_copy', 'srrms_tor_automated_2011_present']",srrms_reissuance_school_id,How long does it take to print a new School ID?,2.4901
Where can I get a Good Moral Certificate?,At the Counseling and Testing Services office.,"Based on my data from the EARIST Citizen's Charter 2025 and the Student Handbook 2021, you can obtain a Good Moral Certificate by following these steps:

1. Obtain a Good Moral Form from the EARIST Registrar's Office.
2. Present this form to the Guidance Office Staff and sign the original office Logbook.
3. The Guidance Office Staff will counsel you (if necessary) and officially sign the Good Moral Certificate based on your record.

This administrative process is highly efficient and takes only 15 minutes. There are no fees required to be paid at the Guidance Office for the issuance of this behavioral clearance.

If you have any further questions or need assistance with other matters, please don't hesitate to ask!","['sas_guidance_good_moral_certificate', 'earist_handbook_art_vii_disciplinary_sanctions', 'admission_services_screening_and_application', 'srrms_honorable_dismissal_transfer_credentials', 'earist_handbook_2021_admission_policy_requirements']",sas_guidance_good_moral_certificate,Where can I get a Good Moral Certificate?,5.8133
,,,,,,
How do I apply for a tuition fee refund?,"Submit a request letter endorsed by your Dean and VPAA, plus a photocopy of your COR, to the Office of the President.","Based on my data from the EARIST Citizen's Charter 2025 and the Student Handbook 2021, to apply for a tuition fee refund at EARIST, you need to follow these steps:

1. Prepare the required documents: a Request Letter for refund, a Certificate of Registration, and the Official Receipt of Tuition Fee. For scholarship providers, an additional Certificate of Scholarship from the provider is necessary.
2. Submit the documents to the Financial Management Services (FMS) office for validation. This process takes approximately 4 hours.
3. Once the documents are validated, Accounting Services evaluates them and prepares the payroll for grantees. This step takes about 1 hour.
4. Budget Services then prepares the Disbursement Voucher (DV), JEV, and Obligation/Budget Utilization Request (ObR or BUR), recording the payment in the RAO.
5. The Director of OSA, Chief of Budget and Accounting, and the EARIST President sign the final documents.
6. The Cashier prepares the LDDAP, SLIIE, or Check.

The total time for this refund process is 2 days, 6 hours, and 30 minutes, with no fees involved.

If you are a Payee Student or a Graduate Program student, and you are not covered by R.A. 10931, you must follow a different process for withdrawing registration or dropping subjects to refund your tuition fees. This process includes signing the form by all concerned faculty and the College Dean, and submitting it back to the Registrar's Office. After SRRMS processes the request, you must proceed to the Accounting/FMS Office to process the refund of fees. The total administrative processing time for this group is 10 minutes.

I hope this information helps you understand the tuition fee refund process at EARIST. If you have any further questions, please don't hesitate to ask.","['srrms_withdrawal_dropping_graduate_school', 'financial_management_services_tuition_refund', 'earist_handbook_2021_fees_refunds_financial_assistance', 'srrms_enrollment_irregular_returnee_onsite', 'glossary_definitions_part_2_abbreviations']",office_president_refund_tuition_fees,How do I apply for a tuition fee refund?,11.4595
What is the refund rate if I drop within one week of classes?,You are eligible for an 80% refund.,"Based on my data from the Student Handbook 2021, the refund rate for students who drop within one week of classes is 80%.","['earist_handbook_2021_fees_refunds_financial_assistance', 'srrms_withdrawal_dropping_undergraduate', 'earist_handbook_2021_retention_tenure_scholastic_delinquency', 'srrms_withdrawal_dropping_graduate_school', 'financial_management_services_tuition_refund']",earist_handbook_2021_fees_refunds_financial_assistance,What is the refund rate if I drop within one week of classes?,2.8277
Can students covered by the Free Tuition Law (RA 10931) get a refund?,"No, they cannot refund tuition or other charges regardless of attendance.","Based on my data from the Student Handbook 2021, students covered by the Free Tuition Law (RA 10931) cannot refund tuition or other charges regardless of attendance.","['earist_handbook_2021_fees_refunds_financial_assistance', 'glossary_definitions_part_2_abbreviations', 'financial_management_services_tuition_refund', 'earist_handbook_2021_retention_tenure_scholastic_delinquency', 'sarms_special_academic_requests_overload_cross_enrollment']",earist_handbook_2021_fees_refunds_financial_assistance,Can students covered by the Free Tuition Law (RA 10931) get a refund?,3.3609
How do I validate my scholarship eligibility?,Submit PDF copies of your COR and Report of Grades (ROG) to the SARRMS Office.,"Based on my data from the EARIST Student Handbook 2021, under Article IV Scholarship and Financial Assistance, there are specific qualifications and requirements for three major scholarship programs. To validate your scholarship eligibility, you need to meet the following criteria:

1. **Tertiary Education Program:**
   - Be enrolled and carry a regular load of 18 units (except for graduating students).
   - Not be a recipient of any other government scholarship or grant.
   - Not have a failing grade or a dropped subject in the previous semester.
   - Submit a duly accomplished Scholarship Form, copies of current and previous Certificates of Registration (COR), copies of current and previous Reports of Grades, and a photocopy of the School I.D. with three specimen signatures.

2. **Tulong Dunong Program:**
   - Be a Filipino citizen.
   - Be enrolled and carrying a regular load of 18 units (except for graduating students).
   - Not have a failing grade or dropped subject in the previous semester.
   - Not have been expelled from any HEI.
   - Not exceed the Maximum Residency Policy.
   - Be a dependent of an Overseas Filipino Worker (OFW) who was repatriated, displaced, or deceased during the COVID-19 Pandemic, as certified by DOLE.
   - Submit the identical requirements as the Tertiary Education Program (Scholarship Form, CORs, Grades, ID).

3. **Faculty and Employees Union Scholarship:**
   - Be the child of an EARIST employee.
   - Be currently enrolled in any college course and carry a minimum academic load of 18 units (except for graduating students).
   - Have a passing grade in all subjects, including P.E. and NSTP.
   - Not drop any subject, shift courses, or stop schooling without approval.
   - Not commit any infraction ranging from serious to very serious offenses.
   - Finish the course within the specified years in the curriculum.
   - Submit the Scholarship Form, previous COR, current Report of Grades, and a Certificate of Employment of the parent from the EARIST HRD.

If you meet these requirements, you should be eligible for the scholarship program. If you have any further questions or need assistance, please don't hesitate to ask.","['earist_handbook_2021_scholarship_qualifications', 'earist_handbook_2021_program_cutoff_scores', 'srrms_final_evaluation_graduating_onsite', 'financial_management_services_statement_of_account', 'sarms_admissions_credential_evaluation_verification']",sas_scholarship_validation_processing,How do I validate my scholarship eligibility?,13.6135
Is there a fee for lost scholarship documents replacement?,"Yes, a fee of ₱20.00 is enforced for replacements.","Based on my data from the EARIST Citizen's Charter 2025, there is a fee of 200.00 for the re-issuance of a school ID due to loss. However, I don't have specific information regarding the fees for replacing scholarship documents. I would recommend contacting the Office of Student Affairs and Services (SAS) for more details on the process and associated costs for replacing lost scholarship documents. They can provide you with accurate and up-to-date information.","['earist_registrar_document_procedures_2025', 'earist_handbook_2021_scholarship_qualifications', 'financial_management_services_tuition_refund', 'srrms_reissuance_school_id', 'srrms_tor_automated_2011_present']",sas_scholarship_validation_processing,Is there a fee for lost scholarship documents replacement?,4.4232
What is the 'SARRMS' office?,"Scholarship, Admission, Registration, and Records Management Services.","The Student Admission, Promotions, and Records Management Services (SARMS) office is a crucial part of EARIST, serving as the primary repository for all student records and acting as the main frontline service for curricular and academic matters. Its mission is to provide academic and administrative support to instruction to enable the attainment of the educational mandate. The office is headed by the Registrar IV, who is also the Director of Admissions, Registrations, Promotions & Records Management Service. The Registrar is a member of both the Academic Council and the Administrative Council. The SARMS office is located at the Student Center, specifically in the left wing of the Apilado Hall, fronting Nagtahan Street. It is responsible for selective admission, registration, promotion and evaluation of student records, records management, curricular information dissemination, and graduation management.","['sarms_overview_mission_governance_functions', 'sarms_office_location_layout_file_management', 'srrms_enrollment_continuing_regular_online', 'sarms_personnel_assignments_and_manpower', 'sarms_special_academic_requests_overload_cross_enrollment']",sas_scholarship_validation_processing,What is the 'SARRMS' office?,5.7176
How do I get a medical certificate for OJT?,"Secure lab results (X-ray, CBC, Urinalysis), then visit the Medical Clinic for an assessment and consultation.","I'm glad you're asking about getting a medical certificate for your On-the-Job Training (OJT) at EARIST. Based on my data from the EARIST Citizen's Charter 2025 (1st Edition), here's a step-by-step guide:

1. **Secure necessary laboratory results:**
   First, you need to obtain several laboratory results from a Medical Laboratory of your choice. These include a Chest X-ray, a Complete Blood Count (CBC) result, a Urinalysis result, and optionally, a Drug Test result.

2. **Visit the EARIST Medical Clinic:**
   Once you have these laboratory results, visit the EARIST Medical Clinic for your assessment and consultation.

3. **Assessment and consultation:**
   During your visit, you'll undergo a 20-minute assessment and a 30-minute consultation proper. The Medical Officer or Nurse on duty will review your laboratory work-ups and perform a physical check-up.

4. **Receive your medical certificate:**
   If you're cleared during the consultation, the Medical Officer will sign your Student Health Record or Medical Certificate (Fit for OJT).

5. **Register and check out:**
   The final step is checking out and registering in the clinic logbook with the Medical Staff, which takes 10 minutes.

This entire process is classified as a G2C transaction and involves no fees from the institute, with a total processing time of 1 hour. If you have any questions or need further clarification, feel free to ask!","['medical_dental_services_ojt_medical_certificate', 'earist_handbook_2021_graduation_honors_ojt', 'medical_dental_services_permit_to_teach', 'medical_dental_services_fit_to_work_certificate', 'medical_dental_services_pre_enrollment_freshmen']",medical_dental_services_ojt_medical_certificate,How do I get a medical certificate for OJT?,8.686
,,,,,,
Can I get a free tooth extraction at EARIST?,"Yes, dental services including check-ups and extractions are free for students.","I'm sorry for any confusion, but based on my current data, EARIST does not offer free tooth extractions. Our Student Handbook 2021 and Citizen's Charter 2025 focus on academic policies, registration processes, and library services. If you have dental concerns, I would recommend reaching out to your dental insurance provider or a local dental clinic for assistance.","['sas_guidance_counseling_walk_in', 'earist_library_services_operations_contacts', 'srrms_application_leave_of_absence', 'srrms_enrollment_irregular_returnee_onsite', 'earist_handbook_2021_screening_process_levels']",medical_dental_services_dental_checkup_extraction,Can I get a free tooth extraction at EARIST?,3.582
What are the uniform days at EARIST?,"Prescribed uniforms are worn on Mondays, Wednesdays, and Fridays.","Based on my data from the Student Handbook 2021, there is no specific mention of uniform days at EARIST in the provided text. However, I can tell you that students are required to wear the institutional uniform, which consists of a Maroon Short Sleeves Polo for males and a Beige Short Sleeves Blouse for females, along with the corresponding slacks and the mandatory accessories: the Earist Logo Pin, the Earist Logo Patch, the College I.D. Lace, and the I.D. Card.

If you have any other questions or need further clarification, please don't hesitate to ask!","['earist_library_services_operations_contacts', 'earist_handbook_2021_vmgo_accreditation', 'srrms_tor_automated_2011_present', 'earist_institutional_uniform_components_list', 'earist_handbook_2021_history_legal_basis']",earist_handbook_art_vi_sec_1_to_3_2_conduct_uniform_id,What are the uniform days at EARIST?,5.0778
,,,,,,
What is the prescribed haircut for male students?,A clean barber's cut of 2 inches by 3 inches.,"Based on my data from the Student Handbook 2021, the prescribed haircut for male students at EARIST is a barber's cut of 2 inches by 3 inches. This means the hair on the sides and back should be cut short, and the hair on the top should be kept to a length of 2 inches. This haircut is considered clean and decent according to the Institute's grooming policy. If you have any further questions or need clarification on any other topic, please don't hesitate to ask!","['earist_handbook_art_vi_sec_3_3_grooming_curfew_behavior', 'uniform_shop_price_list_complete', 'earist_institutional_uniform_components_list', 'earist_handbook_art_vi_sec_1_to_3_2_conduct_uniform_id', 'glossary_definitions_part_1']",earist_handbook_art_vi_sec_3_3_grooming_curfew_behavior,What is the prescribed haircut for male students?,4.4975
Is smoking allowed on campus?,"No, EARIST is a strict no-smoking area (including e-cigarettes).","Based on my data from the Student Handbook 2021, smoking, including e-cigarettes, is not allowed on campus. This is considered a minor offense under Article VI, Section 4.1.3, Number 35. If you have any other questions or need further clarification, please don't hesitate to ask.","['earist_handbook_art_vi_sec_4_1_2_minor_offenses', 'earist_handbook_art_vi_sec_4_1_1_major_offenses', 'earist_handbook_art_ix_sec_4_5_safety_housing_facilities', 'glossary_definitions_part_1', 'earist_handbook_art_vii_disciplinary_sanctions']",earist_handbook_art_vi_sec_3_3_grooming_curfew_behavior,Is smoking allowed on campus?,4.0736
What is the campus curfew for students?,Students must be out of the campus by 9:30 PM.,"Based on my data from the Student Handbook 2021, the campus curfew for students at EARIST is 9:30 PM. However, students can obtain an endorsement from the Dean or Director of their requesting unit and approval from the authorized representative of the Office of the President to be out past this time.","['earist_handbook_art_vi_sec_3_3_grooming_curfew_behavior', 'earist_handbook_art_ix_sec_4_5_safety_housing_facilities', 'glossary_definitions_part_1', 'earist_handbook_2021_student_classification_attendance', 'earist_handbook_art_vi_sec_4_1_2_minor_offenses']",earist_handbook_art_vi_sec_3_3_grooming_curfew_behavior,What is the campus curfew for students?,3.6956
How do I reset my Student Portal password?,Proceed to the MIS office on the 4th Floor of the CCS Building with your ID and COR.,"I'm sorry for any confusion, but the Student Handbook 2021 and the EARIST Citizen's Charter 2025 (1st Edition) provided do not contain information on how to reset a Student Portal password. However, I can guide you on where to find this information.

To reset your Student Portal password, you should contact the **Office of Information Technology (OIT)**. They will be able to help you through the process and ensure your account security. You can reach them via email at [oit@earist.edu.ph](mailto:oit@earist.edu.ph) or by visiting their office at the EARIST campus.

I hope this information helps, and please don't hesitate to ask if you have any questions or need further clarification on any other topic.","['srrms_enrollment_shifters_process', 'sarms_admissions_credential_evaluation_verification', 'srrms_enrollment_irregular_returnee_onsite', 'srrms_reissuance_school_id', 'earist_handbook_art_vi_sec_4_1_2_minor_offenses']",mis_portal_advisory_recovery_and_role,How do I reset my Student Portal password?,5.2549
Where is the Library located?,On the 2nd floor of the Library Building.,"Based on my data from the EARIST Campus Directory and the EARIST Citizen's Charter 2025, the Library, also known as the Library / ICT Building, is located on the EARIST Main Campus in Nagtahan, Sampaloc, Manila. Specifically, it is situated near the NUDAS Building. The Library Services are located on the 2nd floor and 3rd floor of the Library / ICT Building, and the Office of the Management Information System and Technology Services (MIST) is located on the 4th floor. If you need further assistance or have any questions about the library's services or facilities, please don't hesitate to ask!","['earist_library_services_operations_contacts', 'earist_library_sections_locations_facilities', 'earist_library_history_vision_mission_objectives', 'earist_main_campus_office_directory_2025', 'earist_campus_directory_office_locations']",earist_main_campus_office_directory_2025,Where is the Library located?,6.1864
How many books can a student borrow for overnight use?,A maximum of two (2) books.,"Based on my data from the EARIST Student Handbook 2021 and Library Circulation Policy, students are allowed to borrow a maximum of two (2) books for overnight use only.","['earist_library_circulation_loans_penalties', 'earist_library_materials_classification_organization', 'earist_handbook_2021_scholarship_qualifications', 'earist_library_maintenance_weeding_procedures', 'earist_handbook_2021_retention_tenure_scholastic_delinquency']",earist_library_circulation_loans_penalties,How many books can a student borrow for overnight use?,3.2651
When must overnight library books be returned?,On or before 10:00 AM the following service day.,"Based on my data from the EARIST Library Circulation Policy, overnight library books must be returned on or before 10:00 AM the following service day.","['earist_library_circulation_loans_penalties', 'earist_library_maintenance_weeding_procedures', 'earist_library_history_vision_mission_objectives', 'earist_library_services_operations_contacts', 'earist_library_sections_locations_facilities']",earist_library_circulation_loans_penalties,When must overnight library books be returned?,2.6666
