ID,Question,Ground Truth,Ground Truth ID,Model Answer,Retrieved Chunks Used,Retrieved IDs,Retrieval Accuracy,Processing Time (s),Status
50,What subjects are included in the first semester of BFA Painting?,"DRAWING1, GEKOMFIL, GEPEMOVE, GEPURCO, HISTWART, MATRALS1, NSTPROG1, TECHNOS1, and VISPERC1.",curriculum_earist_bfa_painting," Hello! I'm AmBOT, your helpful student assistant at EARIST.

For the Bachelor of Fine Arts (Major in Painting), the first semester includes the following subjects:

1. Drawing 1 (3 units)
2. Gender and Society (3 units)
3. Living in Information Technology Era (3 units)
4. Mathematics in the Modern World (3 units)
5. National Service Training Program 1 (3 units)
6. Panitikan sa Pilipinas / Philippine Literature (3 units)
7. Purposive Communication (3 units)
8. Reading in Philippine History (3 units)
9. Techniques I (Freehand Drawing 1) (3 units)
10. Visual Perception 1 (Elements of Visual Arts) (3 units)

Please let me know if you have any further questions or if there's anything else I can help you with!","[1] EARIST Curriculum June 2018 (ID: curriculum_earist_bfa_painting): Comprehensive curriculum for the Bachelor of Fine Arts (Major in Painting) under the College of Arch...
[2] EARIST Curriculum June 2018 (ID: curriculum_earist_bfa_vc): Comprehensive curriculum for the Bachelor of Fine Arts (Major in Visual Communication) under the Col...
","curriculum_earist_bfa_painting, curriculum_earist_bfa_vc",1,9.13,Success
51,Is there a fee for completing an INC grade?,"No, completion of INC grades is free of charge.",earist_handbook_2021_grading_system_rectification," Hello! I'm AmBOT, your friendly student assistant at EARIST. I'm here to help you with any questions or concerns you may have.

Regarding your question about the fee for completing an INC grade, I have some information for you. According to the Student Handbook 2021, there is no fee for completing an INC grade. However, if the faculty member is unavailable, the Area Chairperson may act on the grade with the Dean's approval.

If you have any more questions or need further assistance, please don't hesitate to ask. I'm here to help!","[1] Student Handbook 2021 (ID: glossary_definitions_part_2_abbreviations): Under the General Information section, this chunk continues the definition of terms and lists offici...
[2] Student Handbook 2021 (ID: earist_handbook_2021_grading_system_rectification): Under Article II Academic Policies, the EARIST Student Handbook 2021 defines the Grading System and ...
[3] Student Handbook 2021 (ID: glossary_definitions_part_1): Under the General Information section of the Student Handbook, the following terms regarding univers...
[4] EARIST Citizen's Charter 2025 (1st Edition) (ID: vpaa_colleges_completion_of_grade): Under the Office of the Vice President for Academic Affairs at EARIST, the 'Completion of Grade' pro...
[5] Student Experience Guide (2025 Update) (ID: earist_registrar_document_procedures_2025): To obtain certified documents at EARIST Manila Campus, follow these specific procedures based on the...
","glossary_definitions_part_2_abbreviations, earist_handbook_2021_grading_system_rectification, glossary_definitions_part_1, vpaa_colleges_completion_of_grade, earist_registrar_document_procedures_2025",1,7.36,Success
52,What is the 'APE' in the shifting process?,Academic Program Evaluation.,srrms_enrollment_shifters_process," Hello! I'm AmBOT, your friendly student assistant at EARIST. I'm here to help you with any questions you may have about our academic policies.

Based on my data from the EARIST Student Handbook 2021 and the EARIST Citizen's Charter 2025, the 'APE' in the shifting process stands for 'Academic Program Evaluation.' It is a requirement for continuing irregular students, returnees, shifters, and transferring students during the enrollment process. The APE evaluates the student's academic standing and determines the necessary subjects they need to complete their program.

During the shifting process, the student first applies for the APE at the Registrar's Office. After paying the 40.00 fee, the student submits the receipt to SRRMS to receive a claim stub. Internal evaluators then perform a grade evaluation to determine the needed subjects. Once the results are released, the student goes to their College for subject enlisting and potential opt-out discussion.

I hope this information helps! If you have any further questions, please don't hesitate to ask.","[1] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_enrollment_shifters_process): Under the SRRMS at EARIST, the procedure for shifters facilitates the transition of students transfe...
[2] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_enrollment_irregular_returnee_onsite): At EARIST, the enrollment process for continuing irregular students and returnees is handled on-site...
[3] EARIST Citizen's Charter 2025 (1st Edition) (ID: medical_dental_services_annual_physical_exam): To promote overall health among staff, EARIST requires an Annual Physical Examination (APE) for all ...
[4] EARIST Citizen's Charter 2025 (1st Edition) (ID: vpaa_colleges_course_adjustments): The EARIST Colleges manage the approval process for students who need to modify their enrollment thr...
[5] Student Handbook 2021 (ID: earist_handbook_2021_student_classification_attendance): Under Article II Academic Policies, the EARIST Student Handbook 2021 classifies students by admissio...
","srrms_enrollment_shifters_process, srrms_enrollment_irregular_returnee_onsite, medical_dental_services_annual_physical_exam, vpaa_colleges_course_adjustments, earist_handbook_2021_student_classification_attendance",1,8.99,Success
53,How many units is the BSED Mathematics program?,A total of 177 units.,curriculum_earist_bsed_math," I'm sorry, I don't have the specific information on the number of units for the BSED Mathematics program in my current data. However, I can guide you to the right resources.

For enrollment-related matters, please visit the **Registrar's Office** or check their **College's Official Facebook Page**. For questions related to the curriculum or course details, you can reach out to the **Office of Student Affairs (OSAS)**. They will be able to provide you with the most accurate and up-to-date information.","[1] EARIST Curriculum June 2018 (ID: curriculum_earist_bs_math): Comprehensive curriculum for the Bachelor of Science in Mathematics under the College of Arts and Sc...
[2] EARIST Curriculum June 2018 (ID: curriculum_earist_bsed_math): Comprehensive curriculum for the Bachelor of Secondary Education (Major in Mathematics) under the Co...
[3] EARIST Curriculum June 2018 (ID: curriculum_earist_bsid): Comprehensive curriculum for the Bachelor of Science in Interior Design (BSID) under the College of ...
","curriculum_earist_bs_math, curriculum_earist_bsed_math, curriculum_earist_bsid",1,8.67,Success
54,What is the maximum load for intersession (summer) classes?,"The regular load is 6 units, with 3 additional units allowed for back courses.",earist_handbook_2021_enrollment_load_substitution," Hello! I'm AmBOT, your helpful student assistant at EARIST.

To answer your question, the maximum load for intersession (summer) classes is 6 units, with a permissible addition of 3 units for back courses. This is stated in the Student Handbook 2021 under the topic of ""Registration, Academic Load, and Substitution of Courses.""

If you have any more questions or need further assistance, please don't hesitate to ask! I'm here to help you navigate your academic journey at EARIST.","[1] Student Handbook 2021 (ID: earist_handbook_2021_enrollment_load_substitution): Under Article II Academic Policies, the EARIST Student Handbook 2021 establishes strict procedures f...
[2] Student Handbook 2021 (ID: earist_handbook_2021_scholarship_qualifications): Under Article IV Scholarship and Financial Assistance, the EARIST Student Handbook 2021 details spec...
[3] Proposed Office of the Registrar Manual (ID: sarms_special_academic_requests_overload_cross_enrollment): The SARMS Manual establishes protocols for handling special academic requests, including Cross-Enrol...
[4] Student Handbook 2021 (ID: earist_handbook_2021_retention_tenure_scholastic_delinquency): Under Article II Academic Policies, the EARIST Student Handbook 2021 enforces strict Retention Polic...
[5] Student Handbook 2021 (ID: earist_handbook_2021_graduation_honors_ojt): Under Article II Academic Policies, the EARIST Student Handbook 2021 outlines the requirements for G...
","earist_handbook_2021_enrollment_load_substitution, earist_handbook_2021_scholarship_qualifications, sarms_special_academic_requests_overload_cross_enrollment, earist_handbook_2021_retention_tenure_scholastic_delinquency, earist_handbook_2021_graduation_honors_ojt",1,7.36,Success
55,Can I apply for a second baccalaureate degree at EARIST?,"No, the Institute does not accept applications for a second baccalaureate degree.",earist_handbook_2021_enrollment_load_substitution," Hello! I'm AmBOT, your friendly student assistant at EARIST. I'd be happy to help you with your question about applying for a second baccalaureate degree at EARIST.

First, let me clarify that EARIST offers a wide range of programs, including baccalaureate and graduate degrees. However, the specific requirements for applying for a second baccalaureate degree may vary depending on the program you're interested in.

To apply for a second baccalaureate degree at EARIST, you'll need to follow these general steps:

1. Check the program requirements: Before you start the application process, make sure you have a clear understanding of the program requirements. You can find this information in the EARIST Student Handbook or by contacting the respective college or school.
2. Meet the admission requirements: You'll need to meet the admission requirements for the program you're interested in. This may include passing an entrance exam, submitting transcripts from your previous institution, and meeting other requirements specific to the program.
3. Apply through the SRRMS: Once you've met the admission requirements, you can apply for the program through the Student Registration and Records Management Services (SRRMS). You'll need to fill out an accomplished application form, provide the necessary documents, and pay the required fees.
4. Wait for the decision: After submitting your application, you'll need to wait for the college or school to review your application and make a decision. This process can take some time, so be patient and follow up if necessary.

It's important to note that the specific requirements and process for applying for a second baccalaureate degree may vary depending on the program you're interested in. I recommend checking the program requirements and contacting the respective college or school for more information.

If you have any further questions or need additional assistance, please don't hesitate to ask. I'm here to help!","[1] Student Handbook 2021 (ID: earist_handbook_2021_vmgo_accreditation): The EARIST Student Handbook 2021 outlines the institution's strategic direction through its Vision, ...
[2] EARIST Citizen's Charter 2025 (1st Edition) (ID: nstp_issuance_certification_graduate_cwts_lts): The EARIST National Service Training Program office provides a Certification of Graduation to studen...
[3] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_enrollment_tcp_graduate_school): Under the Student Registration and Records Management Services (SRRMS) at EARIST, the enrollment for...
[4] EARIST Citizen's Charter 2025 (1st Edition) (ID: vpaa_colleges_cross_registration): At EARIST, cross-registration allows students to take specific subjects in other colleges or schools...
[5] EARIST Citizen's Charter 2025 (1st Edition) (ID: sas_guidance_testing_ecat_administration): At EARIST, the Counseling and Testing Services office manages the administration of the EARIST Colle...
","earist_handbook_2021_vmgo_accreditation, nstp_issuance_certification_graduate_cwts_lts, srrms_enrollment_tcp_graduate_school, vpaa_colleges_cross_registration, sas_guidance_testing_ecat_administration",0,12.35,Success
56,What is the prerequisite for Advanced Shorthand (ADVSTENO)?,Foundation of Shorthand (FNDSTENO).,curriculum_earist_bsoa," Hello! I'm AmBOT, your friendly student assistant at EARIST. I'm here to help you with any questions or concerns you may have.

To answer your question, the prerequisite for Advanced Shorthand (ADVSTENO) is FNDSTENO. FNDSTENO is a course that covers the foundation of shorthand. Once you have completed FNDSTENO, you will be eligible to take ADVSTENO.

If you have any other questions or need further assistance, please don't hesitate to ask. I'm here to help!","[1] EARIST Curriculum June 2018 (ID: curriculum_earist_bsoa): Comprehensive curriculum for the Bachelor of Science in Office Administration (BSOA) under the Colle...
[2] OBTL Plan - IPAT INTEGRATIVE PROGRAMMING AND TECHNOLOGIES (Laboratory) (ID: syllabus_IPATLAB): IPATLAB - **Integrative Programming and Technologies (Laboratory)** is a **1-unit laboratory** cours...
[3] OBTL Plan - Integrative Programming and Technologies (ID: syllabus_IPATLEC): IPATLEC - Integrative Programming and Technologies (Lecture) is a **2-unit** course with 2 hours per...
[4] Proposed Office of the Registrar Manual (ID: sarms_special_academic_requests_overload_cross_enrollment): The SARMS Manual establishes protocols for handling special academic requests, including Cross-Enrol...
[5] OBTL Plan - Computer Programming 1 (Fundamentals of Programming) (Laboratory) (ID: syllabus_fproglab): FPROGLAB - Computer Programming 1 (Fundamentals of Programming) (Laboratory) is a 1-unit laboratory ...
","curriculum_earist_bsoa, syllabus_IPATLAB, syllabus_IPATLEC, sarms_special_academic_requests_overload_cross_enrollment, syllabus_fproglab",1,7.9,Success
57,How many units is the Internship for BS Applied Physics?,9 units.,curriculum_earist_bsap," Hello! I'm AmBOT, your helpful student assistant at EARIST.

For the Bachelor of Science in Applied Physics (BSAP) under the College of Arts and Sciences (CAS) at EARIST, the Internship is a 9-unit course. It is part of the fourth year of study and is required for graduation.

The Internship course focuses on practical work experience in the field of applied physics. Students will be placed in industrial or commercial IT companies for on-the-job training, where they will apply the theory learned in their IT courses and gain hands-on experience in the industry.

The course schedule includes an orientation week, preparation for the internship program, actual on-the-job training, midterm and final examinations, and weekly reflective narrative reports. The primary learning material for the course is the Computing Programs Internship Guidebook.

If you have any further questions or need more information about the Internship course, please don't hesitate to ask. I'm here to help!","[1] EARIST Curriculum June 2018 (ID: curriculum_earist_bsap): Comprehensive curriculum for the Bachelor of Science in Applied Physics (BSAP) under the College of ...
[2] OBTL Plan - Practicum/Internship (ID: syllabus_ITINTERN): ITINTERN - **Practicum/Internship** is a **1-unit** laboratory course with 3 hours per week, which r...
","curriculum_earist_bsap, syllabus_ITINTERN",1,8.77,Success
58,What is the 'PPT' in academic screenings?,Program Preparedness Test.,earist_handbook_2021_screening_process_levels," Hello! I'm AmBOT, your helpful student assistant at EARIST. I'd be happy to help you understand the 'PPT' in academic screenings.

The 'PPT' stands for 'Program Preparedness Test.' It is a placement examination designed to assess competency in specific skills or disciplines. The PPT is required for various programs at EARIST, including BS Architecture, BS Applied Physics, BS Mathematics, BS Computer Science, BS Information Technology, BS Psychology, BS Civil Engineering, BS Chemical Engineering, BS Computer Engineering, BS Electronics and Communications Engineering, BS Electrical Engineering, and BS Mechanical Engineering.

During the three-level screening process, the PPT is part of Screening Level 3. Students who score lower than the pre-determined cut-off in the PPT may be conditionally admitted. These conditionally admitted students must undergo an Enhancement Program, requiring them to enroll in and pass one to two enhancement courses during their first year.

If you have any more questions or need further clarification, please don't hesitate to ask! I'm here to help.","[1] Student Handbook 2021 (ID: earist_handbook_2021_screening_process_levels): Under Article I Admission Policy, the EARIST Student Handbook 2021 mandates a three-level screening ...
[2] EARIST Citizen's Charter 2025 (1st Edition) (ID: vpaa_colleges_admission_enrollment_interview): The EARIST Colleges facilitate student admission and enrollment by evaluating knowledge and aptitude...
[3] EARIST Citizen's Charter 2025 (1st Edition) (ID: admission_services_screening_and_application): At EARIST, the process for Admission is designed for external student clients (G2C) and is managed b...
[4] Student Handbook 2021 (ID: glossary_definitions_part_1): Under the General Information section of the Student Handbook, the following terms regarding univers...
[5] Student Handbook 2021 (ID: earist_handbook_2021_program_cutoff_scores): Under Article I Admission Policy, Section A (Screening Level 3), the EARIST Student Handbook 2021 es...
","earist_handbook_2021_screening_process_levels, vpaa_colleges_admission_enrollment_interview, admission_services_screening_and_application, glossary_definitions_part_1, earist_handbook_2021_program_cutoff_scores",1,9.45,Success
59,How do I access the Program Curriculum (Syllabus)?,Submit a formal Letter of Request to the EARIST College Dean’s Office.,vpaa_colleges_program_curriculum," Hello! I'm AmBOT, your helpful student assistant at EARIST. To access the Program Curriculum (Syllabus), you can follow these steps:

1. First, identify the program you are interested in. This could be the Bachelor of Science in Entrepreneurship or the Bachelor of Secondary Education Major in Filipino.
2. Next, visit the respective College Dean's Office for the program you are interested in. You can find the contact information for each College Dean's Office in the EARIST Citizen's Charter 2025 (1st Edition).
3. Submit a formal Letter of Request for the program curriculum to the College Dean's Office. Be sure to include the specific Course Description relevant to your concern.
4. The Area Chairperson and the College Dean will evaluate the submitted documents. This process usually takes approximately 1 day.
5. After evaluation, the College Dean will endorse the documents for approval and submit them to the Student Registration and Records Management Services (SRRMS). This final stage of endorsement takes an additional 1 day.
6. Once the documents have been approved, you will be able to access the Program Curriculum (Syllabus) for your chosen course.

Please note that there are no fees associated with this request, and the total processing time is estimated at 2 days. If you have any further questions or concerns, please don't hesitate to ask. I'm here to help!","[1] EARIST Citizen's Charter 2025 (1st Edition) (ID: vpaa_colleges_program_curriculum): At the Eulogio 'Amang' Rodriguez Institute of Science and Technology (EARIST), the process for acces...
[2] EARIST Curriculum June 2018 (ID: curriculum_earist_bsed_filipino): Comprehensive curriculum for the Bachelor of Secondary Education (Major in Filipino) under the Colle...
[3] EARIST Curriculum June 2018 (ID: curriculum_earist_bs_entrepreneurship): Comprehensive curriculum for the Bachelor of Science in Entrepreneurship under the College of Busine...
","vpaa_colleges_program_curriculum, curriculum_earist_bsed_filipino, curriculum_earist_bs_entrepreneurship",1,10.77,Success
60,How long does it take to access a Course Syllabus?,Approximately 2 days.,vpaa_colleges_program_curriculum," Hello! I'm Amang Bot, your helpful student assistant at EARIST. I'd be happy to help you with your question about accessing a Course Syllabus.

To access a Course Syllabus, you can follow these steps:

1. First, determine which college or program you are interested in.
2. Next, visit the respective College Dean's Office and submit a formal Letter of Request for the program curriculum. You may also need to provide the specific Course Description relevant to your concern.
3. The Area Chairperson and College Dean will evaluate the submitted documents, which typically takes about 1 day.
4. After evaluation, the College Dean will endorse the documents for approval and submit them to the Student Registration and Records Management Services (SRRMS). This final stage of endorsement takes an additional 1 day.
5. There are no fees associated with this request, and the total processing time is estimated at 2 days.

Please note that the specific process and requirements may vary slightly depending on the college or program you are interested in. If you have any further questions or concerns, please don't hesitate to ask!","[1] OBTL Plan - NETWKLC1 (Networking 1) Lecture (ID: syllabus_NETWKLC1): NETWKLC1 - **Networking 1 (Lecture)** is a **2-unit lecture** course (2 hrs/week) with a prerequisit...
[2] EARIST Citizen's Charter 2025 (1st Edition) (ID: vpaa_colleges_program_curriculum): At the Eulogio 'Amang' Rodriguez Institute of Science and Technology (EARIST), the process for acces...
[3] OBTL Plan - Computer Programming 2 (Intermediate Programming - Lec) (ID: syllabus_iproglec): IPROGLEC - Computer Programming 2 (Intermediate Programming) (Lecture) is a course designed to train...
[4] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_subject_crediting_equivalency): At EARIST, the SRRMS facilitates the crediting of subjects for transferees and subject equivalency f...
[5] OBTL Plan - Integrative Programming and Technologies (ID: syllabus_IPATLEC): IPATLEC - Integrative Programming and Technologies (Lecture) is a **2-unit** course with 2 hours per...
","syllabus_NETWKLC1, vpaa_colleges_program_curriculum, syllabus_iproglec, srrms_subject_crediting_equivalency, syllabus_IPATLEC",1,9.57,Success
61,How do I get my first School ID?,Fill out an ID request form and provide your Certificate of Registration (COR).,srrms_issuance_school_id_first_copy," Hello! I'd be happy to help you with that.

To get your first School ID at EARIST, you'll need to follow these steps:

1. First, you'll need to obtain an advisement slip from the GS or CED office. This slip will contain important information about your enrollment and will be used to register your subjects.
2. Once you have your advisement slip, you'll need to visit the Enrollment Officer at the SRRMS Frontliners office. They will register your subjects based on the information on your advisement slip.
3. After your subjects have been registered, you'll need to pay the tuition fee at the Cashier's Office. The fee varies by units, so be sure to check with the Cashier for the exact amount.
4. Once you've paid your tuition fee, you'll need to purchase an enrollment envelope at the IGP office. This envelope is required for your School ID and other important documents.
5. Finally, you'll need to submit your original admission credentials and approved admission form to the SRRMS Frontliners office for verification. If your requirements are incomplete, you may need to sign a promissory note.

It's important to note that the total processing time for your School ID can vary depending on the system issues or high student volume. However, the SRRMS aims to provide a systematic process to ensure that all identification cards in circulation are current and properly accounted for.

If you have any further questions or concerns, please don't hesitate to ask. I'm here to help!","[1] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_reissuance_school_id): For EARIST students requiring a new school ID due to damage, loss, or personal data updates (like a ...
[2] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_tor_automated_2011_present): Under the EARIST SRRMS, students with a student number from 2011 to the present can request their Tr...
[3] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_subject_crediting_equivalency): At EARIST, the SRRMS facilitates the crediting of subjects for transferees and subject equivalency f...
[4] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_tor_manual_2010_below): For EARIST alumni with student numbers from 2010 and below, the SRRMS processes TOR requests using t...
[5] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_enrollment_tcp_graduate_school): Under the Student Registration and Records Management Services (SRRMS) at EARIST, the enrollment for...
","srrms_reissuance_school_id, srrms_tor_automated_2011_present, srrms_subject_crediting_equivalency, srrms_tor_manual_2010_below, srrms_enrollment_tcp_graduate_school",0,10.13,Success
62,Is the first copy of the School ID free?,"Yes, it is free of charge for first-time freshmen.",srrms_issuance_school_id_first_copy," Based on my data from the EARIST Citizen's Charter 2025, the issuance of the first copy of the School ID is free of charge for first-time freshmen. The only requirement is the 'Certificate of Registration (COR)', which can be secured from the Student Portal or SRRMS. To apply, the student fills out a school ID request form (either physically or via Google form), ensuring all personal information is accurate. The 'ID making in-charge' at SRRMS then processes the request and creates the school ID based on the submitted data. The actual printing of the School ID takes approximately 1 hour. Once printed, the ID making in-charge officially issues the ID to the student.","[1] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_tor_automated_2011_present): Under the EARIST SRRMS, students with a student number from 2011 to the present can request their Tr...
[2] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_issuance_school_id_first_copy): Under the SRRMS at EARIST, the issuance of the first copy of the School ID is a primary service for ...
[3] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_subject_crediting_equivalency): At EARIST, the SRRMS facilitates the crediting of subjects for transferees and subject equivalency f...
[4] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_reissuance_school_id): For EARIST students requiring a new school ID due to damage, loss, or personal data updates (like a ...
[5] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_enrollment_irregular_returnee_onsite): At EARIST, the enrollment process for continuing irregular students and returnees is handled on-site...
","srrms_tor_automated_2011_present, srrms_issuance_school_id_first_copy, srrms_subject_crediting_equivalency, srrms_reissuance_school_id, srrms_enrollment_irregular_returnee_onsite",1,6.61,Success
63,How much is the fee for a lost ID replacement?,The fee is ₱200.00.,srrms_reissuance_school_id," Hello! I'm AmBOT, your friendly student assistant at EARIST. I'd be happy to help you with your question about the fee for a lost ID replacement.

According to the EARIST Citizen's Charter 2025 (1st Edition), the fee for a lost ID replacement is 200.00. This fee is paid at the Cashier's Office after the student has submitted the necessary forms and documentation, including an Affidavit of Loss (if the ID was lost).

It's important to note that the process for replacing a lost ID involves several steps, including reporting the status at the Registrar's Office, paying the fee at the Cashier's Office, and submitting the Update Form, Receipt, and other requirements back to the SRRMS 'ID making in-charge'. The printing of the new ID takes 1 hour, and the ID is issued to the student 2 minutes after the printing is complete.

I hope this information helps! If you have any further questions, please don't hesitate to ask. I'm here to assist you in any way I can.","[1] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_reissuance_school_id): For EARIST students requiring a new school ID due to damage, loss, or personal data updates (like a ...
[2] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_tor_manual_2010_below): For EARIST alumni with student numbers from 2010 and below, the SRRMS processes TOR requests using t...
[3] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_tor_automated_2011_present): Under the EARIST SRRMS, students with a student number from 2011 to the present can request their Tr...
[4] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_honorable_dismissal_transfer_credentials): The SRRMS at EARIST handles the issuance of Honorable Dismissal (HD) and Transfer Credentials for st...
[5] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_enrollment_irregular_returnee_onsite): At EARIST, the enrollment process for continuing irregular students and returnees is handled on-site...
","srrms_reissuance_school_id, srrms_tor_manual_2010_below, srrms_tor_automated_2011_present, srrms_honorable_dismissal_transfer_credentials, srrms_enrollment_irregular_returnee_onsite",1,8.17,Success
64,What documents are needed to replace a lost ID?,"COR, Official Receipt of payment, and an Affidavit of Loss.",srrms_reissuance_school_id," Hello! I'm AmBOT, your friendly student assistant at EARIST. I'd be happy to help you with your question about replacing a lost ID.

To replace a lost ID, you will need to submit the following documents to the Student Registration and Records Management Services (SRRMS):

1. A Certificate of Registration (COR)
2. An Official Receipt (from the Cashier)
3. Depending on the reason for the loss, an Affidavit of Loss (from a Notary Public), an ID Clearance, or a Personal Data Update Form (both from SRRMS)

Please note that if your ID was lost, you will also need to submit an Affidavit of Loss.

Here's a step-by-step guide on how to replace your lost ID:

1. Go to the Registrar's Office and report the status of your lost ID. You will receive a payment slip and necessary forms.
2. If your ID was lost, submit the Affidavit of Loss.
3. Pay a 200.00 fee at the Cashier's Office.
4. Submit the Update Form, Receipt, and other requirements back to the SRRMS 'ID making in-charge'.
5. Wait for the printing of your new ID, which will take approximately 1 hour.
6. Finally, the ID will be issued to you.

I hope this information helps you replace your lost ID. If you have any further questions or concerns, please don't hesitate to ask. I'm here to assist you!","[1] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_reissuance_school_id): For EARIST students requiring a new school ID due to damage, loss, or personal data updates (like a ...
[2] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_tor_automated_2011_present): Under the EARIST SRRMS, students with a student number from 2011 to the present can request their Tr...
[3] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_tor_manual_2010_below): For EARIST alumni with student numbers from 2010 and below, the SRRMS processes TOR requests using t...
[4] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_enrollment_irregular_returnee_onsite): At EARIST, the enrollment process for continuing irregular students and returnees is handled on-site...
[5] Student Handbook 2021 (ID: earist_handbook_2021_scholarship_qualifications): Under Article IV Scholarship and Financial Assistance, the EARIST Student Handbook 2021 details spec...
","srrms_reissuance_school_id, srrms_tor_automated_2011_present, srrms_tor_manual_2010_below, srrms_enrollment_irregular_returnee_onsite, earist_handbook_2021_scholarship_qualifications",1,10.52,Success
65,How long does it take to print a new School ID?,Approximately 1 hour.,srrms_reissuance_school_id," Based on the provided context, the process of printing a new School ID involves several steps. First, the student needs to fill out a school ID request form and submit it to the SRRMS. Then, the ID making in-charge at SRRMS processes the request and creates the school ID based on the submitted data. Once printed, the ID making in-charge officially issues the ID to the student.

According to the information provided in Source 3, the actual printing of the School ID takes approximately 1 hour. However, the total processing time for this service is 1 hour and 4 minutes, which includes the time needed to fill out the form, process the request, and issue the ID.

It's important to note that this process may vary depending on the specific requirements and procedures followed by the SRRMS at EARIST. If you have any further questions or need more information, please feel free to ask.","[1] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_reissuance_school_id): For EARIST students requiring a new school ID due to damage, loss, or personal data updates (like a ...
[2] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_enrollment_shifters_process): Under the SRRMS at EARIST, the procedure for shifters facilitates the transition of students transfe...
[3] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_subject_crediting_equivalency): At EARIST, the SRRMS facilitates the crediting of subjects for transferees and subject equivalency f...
[4] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_issuance_school_id_first_copy): Under the SRRMS at EARIST, the issuance of the first copy of the School ID is a primary service for ...
[5] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_tor_automated_2011_present): Under the EARIST SRRMS, students with a student number from 2011 to the present can request their Tr...
","srrms_reissuance_school_id, srrms_enrollment_shifters_process, srrms_subject_crediting_equivalency, srrms_issuance_school_id_first_copy, srrms_tor_automated_2011_present",1,7.3,Success
66,Where can I get a Good Moral Certificate?,At the Counseling and Testing Services office.,sas_guidance_good_moral_certificate," Hello! I'm AmBOT, your helpful student assistant at EARIST. To get a Good Moral Certificate, you can follow these steps:

1. First, you need to obtain a Good Moral Form from the EARIST Registrar's Office.
2. Once you have the form, present it to the Guidance Office Staff.
3. The Guidance Office Staff will counsel you (if necessary) and officially sign the Good Moral Certificate based on your record.
4. The entire process takes only 15 minutes, and there are no fees required to be paid at the Guidance Office for the issuance of this behavioral clearance.

Remember, a Good Moral Certificate serves as an official testament to your conduct during your tenure at EARIST. If you have any further questions or concerns, please don't hesitate to ask. I'm here to help!","[1] EARIST Citizen's Charter 2025 (1st Edition) (ID: sas_guidance_good_moral_certificate): At EARIST, students requiring a behavioral clearance for various purposes can apply for a Good Moral...
[2] Student Handbook 2021 (ID: earist_handbook_art_vii_disciplinary_sanctions): Under Article VII of the EARIST Student Handbook, the Institute defines specific disciplinary sancti...
[3] EARIST Citizen's Charter 2025 (1st Edition) (ID: admission_services_screening_and_application): At EARIST, the process for Admission is designed for external student clients (G2C) and is managed b...
[4] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_honorable_dismissal_transfer_credentials): The SRRMS at EARIST handles the issuance of Honorable Dismissal (HD) and Transfer Credentials for st...
[5] Student Handbook 2021 (ID: earist_handbook_2021_admission_policy_requirements): Under Article I Admission Policy of the EARIST Student Handbook 2021, the admission of all students ...
","sas_guidance_good_moral_certificate, earist_handbook_art_vii_disciplinary_sanctions, admission_services_screening_and_application, srrms_honorable_dismissal_transfer_credentials, earist_handbook_2021_admission_policy_requirements",1,7.95,Success
